https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount
平成20年度,一般行政部門　小計,467
平成20年度,特別行政部門　教育,135
平成20年度,特別行政部門　消防,0
平成20年度,公営企業等会計部門　病院,3
平成20年度,公営企業等会計部門　水道,20
平成20年度,公営企業等会計部門　下水道,26
平成20年度,公営企業等会計部門　その他,19
平成20年度,公営企業等会計部門　小計,68
平成21年度,一般行政部門　議会,7
平成21年度,一般行政部門　総務,134
平成21年度,一般行政部門　税務,33
平成21年度,一般行政部門　民生,148
平成21年度,一般行政部門　衛生,28
平成21年度,一般行政部門　労働,3
平成21年度,一般行政部門　農林水産,29
平成21年度,一般行政部門　商工,23
平成21年度,一般行政部門　土木,54
平成21年度,一般行政部門　小計,459
平成21年度,特別行政部門　教育,131
平成21年度,特別行政部門　消防,0
平成21年度,公営企業等会計部門　病院,4
平成21年度,公営企業等会計部門　水道,18
平成21年度,公営企業等会計部門　下水道,25
平成21年度,公営企業等会計部門　その他,20
平成21年度,公営企業等会計部門　小計,67
平成22年度,一般行政部門　議会,7
平成22年度,一般行政部門　総務,132
平成22年度,一般行政部門　税務,33
平成22年度,一般行政部門　民生,144
平成22年度,一般行政部門　衛生,30
平成22年度,一般行政部門　労働,3
平成22年度,一般行政部門　農林水産,30
平成22年度,一般行政部門　商工,22
平成22年度,一般行政部門　土木,58
平成22年度,一般行政部門　小計,459
平成22年度,特別行政部門　教育,133
平成22年度,特別行政部門　消防,0
平成22年度,公営企業等会計部門　病院,0
平成22年度,公営企業等会計部門　水道,19
平成22年度,公営企業等会計部門　下水道,22
平成22年度,公営企業等会計部門　その他,20
平成22年度,公営企業等会計部門　小計,61
平成23年度,一般行政部門　議会,7
平成23年度,一般行政部門　総務,127
平成23年度,一般行政部門　税務,33
平成23年度,一般行政部門　民生,143
平成23年度,一般行政部門　衛生,30
平成23年度,一般行政部門　労働,3
平成23年度,一般行政部門　農林水産,30
平成23年度,一般行政部門　商工,21
平成23年度,一般行政部門　土木,56
平成23年度,一般行政部門　小計,450
平成23年度,特別行政部門　教育,127
平成23年度,特別行政部門　消防,0
平成23年度,公営企業等会計部門　病院,0
平成23年度,公営企業等会計部門　水道,16
平成23年度,公営企業等会計部門　下水道,21
平成23年度,公営企業等会計部門　その他,20
平成23年度,公営企業等会計部門　小計,57
平成24年度,一般行政部門　議会,7
平成24年度,一般行政部門　総務,124
平成24年度,一般行政部門　税務,32
平成24年度,一般行政部門　民生,135
平成24年度,一般行政部門　衛生,27
平成24年度,一般行政部門　労働,3
平成24年度,一般行政部門　農林水産,31
平成24年度,一般行政部門　商工,23
平成24年度,一般行政部門　土木,53
平成24年度,一般行政部門　小計,435
平成24年度,特別行政部門　教育,118
平成24年度,特別行政部門　消防,0
平成24年度,公営企業等会計部門　病院,0
平成24年度,公営企業等会計部門　水道,16
平成24年度,公営企業等会計部門　下水道,20
平成24年度,公営企業等会計部門　その他,23
平成24年度,公営企業等会計部門　小計,59
平成25年度,一般行政部門　議会,7
平成25年度,一般行政部門　総務,126
平成25年度,一般行政部門　税務,31
平成25年度,一般行政部門　民生,129
平成25年度,一般行政部門　衛生,27
平成25年度,一般行政部門　労働,3
平成25年度,一般行政部門　農林水産,29
平成25年度,一般行政部門　商工,25
平成25年度,一般行政部門　土木,48
平成25年度,一般行政部門　小計,425
平成25年度,特別行政部門　教育,112
平成25年度,特別行政部門　消防,0
平成25年度,公営企業等会計部門　病院,0
平成25年度,公営企業等会計部門　水道,16
平成25年度,公営企業等会計部門　下水道,19
平成25年度,公営企業等会計部門　その他,21
平成25年度,公営企業等会計部門　小計,56
平成26年度,一般行政部門　議会,7
平成26年度,一般行政部門　総務,125
平成26年度,一般行政部門　税務,31
平成26年度,一般行政部門　民生,125
平成26年度,一般行政部門　衛生,27
平成26年度,一般行政部門　労働,3
平成26年度,一般行政部門　農林水産,27
平成26年度,一般行政部門　商工,23
平成26年度,一般行政部門　土木,50
平成26年度,一般行政部門　小計,418
平成26年度,特別行政部門　教育,106
平成26年度,特別行政部門　消防,0
平成26年度,公営企業等会計部門　病院,0
平成26年度,公営企業等会計部門　水道,16
平成26年度,公営企業等会計部門　下水道,18
平成26年度,公営企業等会計部門　その他,23
平成26年度,公営企業等会計部門　小計,57
平成27年度,一般行政部門　議会,7
平成27年度,一般行政部門　総務,135
平成27年度,一般行政部門　税務,31
平成27年度,一般行政部門　民生,127
平成27年度,一般行政部門　衛生,27
平成27年度,一般行政部門　労働,3
平成27年度,一般行政部門　農林水産,29
平成27年度,一般行政部門　商工,22
平成27年度,一般行政部門　土木,50
平成27年度,一般行政部門　小計,431
平成27年度,特別行政部門　教育,97
平成27年度,特別行政部門　消防,0
平成27年度,公営企業等会計部門　病院,0
平成27年度,公営企業等会計部門　水道,15
平成27年度,公営企業等会計部門　下水道,17
平成27年度,公営企業等会計部門　その他,20
平成27年度,公営企業等会計部門　小計,52
平成28年度,一般行政部門　議会,7
平成28年度,一般行政部門　総務,135
平成28年度,一般行政部門　税務,30
平成28年度,一般行政部門　民生,125
平成28年度,一般行政部門　衛生,28
平成28年度,一般行政部門　労働,3
平成28年度,一般行政部門　農林水産,28
平成28年度,一般行政部門　商工,24
平成28年度,一般行政部門　土木,52
平成28年度,一般行政部門　小計,432
平成28年度,特別行政部門　教育,94
平成28年度,特別行政部門　消防,0
平成28年度,公営企業等会計部門　病院,0
平成28年度,公営企業等会計部門　水道,15
平成28年度,公営企業等会計部門　下水道,17
平成28年度,公営企業等会計部門　その他,16
平成28年度,公営企業等会計部門　小計,48
