施設名称,緯度,経度
味真野保育園,35.8859107,136.2267871
神山認定こども園,35.8897551,136.1421332
認定こども園あわたべ,35.9133547,136.2405742
認定こども園里山ほのか学園,35.92528804,136.1513053
武生東幼稚園,35.9084868,136.1685104
武生西幼稚園,35.9025706,136.1581421
神山幼稚園,35.8857334,136.1360452
吉野幼稚園,35.9255845,136.1585719
国高幼稚園,35.9123647,136.1870559
大虫幼稚園,35.9073334,136.1422993
坂口幼稚園,35.8589351,136.0868953
王子保幼稚園,35.8661114,136.1674812
北日野幼稚園,35.8889481,136.1876648
味真野幼稚園,35.8905074,136.2328142
白山幼稚園,35.8866249,136.0533762
南中山幼稚園,35.9295393,136.2459344
服間幼稚園,35.9355276,136.2640187
岡本幼稚園,35.9148629,136.2440404
丈生幼稚園,35.9033484,136.1621306
丈生神山幼稚園,35.8879279,136.1589008
恩恵幼稚園,35.8990352,136.1689968
ひかり幼稚園,35.9189409,136.1605081
粟田部幼稚園,35.9133547,136.2405742
武生東小学校,35.9085535,136.1684854
武生西小学校,35.9025706,136.1581365
武生南小学校,35.8943384,136.1641751
神山小学校,35.8857389,136.1360729
吉野小学校,35.9258039,136.1572887
国高小学校,35.9123452,136.185906
大虫小学校,35.9062113,136.1418577
坂口小学校,35.8589601,136.0869425
王子保小学校,35.8660892,136.1677618
北日野小学校,35.8894703,136.190545
北新庄小学校,35.9139541,136.2100082
味真野小学校,35.8905768,136.233153
白山小学校,35.8880386,136.0528623
花筐小学校,35.91411951,136.2404566
岡本小学校,35.9151407,136.2451764
南中山小学校,35.9296532,136.2467232
服間小学校,35.9354387,136.2650603
武生第一中学校,35.9079505,136.1582836
武生第二中学校,35.8873808,136.1603757
武生第二中学校坂口分校,35.8589601,136.0869425
武生第三中学校,35.9057069,136.1760154
万葉中学校,35.8922929,136.2135887
武生第五中学校,35.8885387,136.0569397
武生第六中学校,35.8657389,136.159232
南越中学校,35.9266841,136.249709
武生中央公園温水プール,35.89972273,136.1607223
武生中央公園総合体育館（アイシンスポーツアリーナ）,35.90240815,136.149777
武生中央公園庭球場,35.89849413,136.1572721
武生中央公園多目的広場,35.89818407,136.1575974
武道館,35.90289422,136.1576364
武生東運動公園陸上競技場,35.89493302,136.2188178
武生東運動公園庭球場,35.89528067,136.2188715
武生東運動公園ソフトボール場,35.89297744,136.2188393
瓜生水と緑公園体育館,35.92650248,136.1837785
サッカー場（武生特殊鋼材ドリームサッカー場）,35.93064293,136.1831716
今立体育センター,35.90996131,136.2409121
丹南総合公園体育館,35.92999721,136.1537234
丹南総合公園野球場,35.92917189,136.1519424
丹南総合公園多目的グラウンド,35.9289547,136.1544208
丹南総合公園全天候型球技場,35.92717108,136.1524358
丹南総合公園ゲートボール場,35.92717108,136.1524358
家久スポーツ公園庭球場,35.9185913,136.1720719
