https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_times
昭和,39,震度不明,0
昭和,40,震度1,2
昭和,40,震度2,4
昭和,40,震度3,0
昭和,40,震度4,1
昭和,40,震度5弱,0
昭和,40,震度5強,0
昭和,40,震度6弱,0
昭和,40,震度6強,0
昭和,40,震度7,0
昭和,40,震度不明,0
昭和,41,震度1,4
昭和,41,震度2,3
昭和,41,震度3,1
昭和,41,震度4,0
昭和,41,震度5弱,0
昭和,41,震度5強,0
昭和,41,震度6弱,0
昭和,41,震度6強,0
昭和,41,震度7,0
昭和,41,震度不明,0
昭和,42,震度1,1
昭和,42,震度2,0
昭和,42,震度3,0
昭和,42,震度4,0
昭和,42,震度5弱,0
昭和,42,震度5強,0
昭和,42,震度6弱,0
昭和,42,震度6強,0
昭和,42,震度7,0
昭和,42,震度不明,0
昭和,43,震度1,8
昭和,43,震度2,6
昭和,43,震度3,1
昭和,43,震度4,0
昭和,43,震度5弱,0
昭和,43,震度5強,0
昭和,43,震度6弱,0
昭和,43,震度6強,0
昭和,43,震度7,0
昭和,43,震度不明,0
昭和,44,震度1,9
昭和,44,震度2,4
昭和,44,震度3,0
昭和,44,震度4,1
昭和,44,震度5弱,0
昭和,44,震度5強,0
昭和,44,震度6弱,0
昭和,44,震度6強,0
昭和,44,震度7,0
昭和,44,震度不明,0
昭和,45,震度1,1
昭和,45,震度2,1
昭和,45,震度3,1
昭和,45,震度4,0
昭和,45,震度5弱,0
昭和,45,震度5強,0
昭和,45,震度6弱,0
昭和,45,震度6強,0
昭和,45,震度7,0
昭和,45,震度不明,0
昭和,46,震度1,3
昭和,46,震度2,1
昭和,46,震度3,1
昭和,46,震度4,0
昭和,46,震度5弱,0
昭和,46,震度5強,0
昭和,46,震度6弱,0
昭和,46,震度6強,0
昭和,46,震度7,0
昭和,46,震度不明,0
昭和,47,震度1,2
昭和,47,震度2,2
昭和,47,震度3,3
昭和,47,震度4,0
昭和,47,震度5弱,0
昭和,47,震度5強,0
昭和,47,震度6弱,0
昭和,47,震度6強,0
昭和,47,震度7,0
昭和,47,震度不明,0
昭和,48,震度1,6
昭和,48,震度2,6
昭和,48,震度3,0
昭和,48,震度4,0
昭和,48,震度5弱,0
昭和,48,震度5強,0
昭和,48,震度6弱,0
昭和,48,震度6強,0
昭和,48,震度7,0
昭和,48,震度不明,0
昭和,49,震度1,1
昭和,49,震度2,3
昭和,49,震度3,2
昭和,49,震度4,0
昭和,49,震度5弱,0
昭和,49,震度5強,0
昭和,49,震度6弱,0
昭和,49,震度6強,0
昭和,49,震度7,0
昭和,49,震度不明,0
昭和,50,震度1,1
昭和,50,震度2,1
昭和,50,震度3,1
昭和,50,震度4,0
昭和,50,震度5弱,0
昭和,50,震度5強,0
