https://schema.org/name,https://schema.org/abstract,https://schema.org/address,https://schema.org/telephone,https://schema.org/url,https://schema.org/email,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/Map,https://schema.org/color,https://schema.org/category,https://schema.org/description
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目16,【障スポ】JR武生駅行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目16内容,始発　11：00　終発　16：25　所要時間　10分
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目１,【Bルート】武生中央公園行　運行日
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目1内容,9/30～10/2
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目２,【Bルート】中央公園行　運行時間
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目2内容,始発　9：20　終発　16：50　所要時間　20分
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目３,【Gルート】味真野苑行　運行日
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目3内容,9/30～10/2
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目４,【Gルート】味真野苑行　運行時間
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目4内容,始発　9：30　終発　16：30　所要時間　10分
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目５,【障スポ】武生中央公園行　運行日
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目5内容,上午/下午 00時00分00秒
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目６,【障スポ】武生中央公園行　運行時間
武生東運動公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.89349,136.220974,国体マップ,青,項目6内容,始発　10：35　終発　16：00　所要時間　20分
丹南総合公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.929664,136.152868,国体マップ,青,項目１,【Cルート】武生中央公園行　運行日
丹南総合公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.929664,136.152868,国体マップ,青,項目1内容,10/5.6
丹南総合公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.929664,136.152868,国体マップ,青,項目２,【Cルート】武生中央公園行　運行時間
丹南総合公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.929664,136.152868,国体マップ,青,項目2内容,始発　8：25　終発　16：55　所要時間　15分
福井村田P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900517,136.146451,国体マップ,青,項目１,【Dルート】武生中央公園行　運行日
福井村田P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900517,136.146451,国体マップ,青,項目1内容,9/30　10/6～8
福井村田P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900517,136.146451,国体マップ,青,項目２,【Dルート】武生中央公園行　運行時間
福井村田P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900517,136.146451,国体マップ,青,項目2内容,始発　8：40　終発　18：10　所要時間　10分
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目１,【Eルート】武生中央公園行　運行日
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目1内容,10/1.2.3.5.6.8
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目２,【Eルート】武生中央公園行　運行時間
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目2内容,始発　8：40　終発　17：40　所要時間　10分
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目３,【Fルート】武生中央公園行　運行日
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目3内容,9/30　10/7
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目４,【Fルート】武生中央公園行　運行時間
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目4内容,始発　8：40　終発　17：40　所要時間　10分
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目５,【Fルート】AW工業行　運行日
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目5内容,9/30　10/7
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目６,【Fルート】AW工業行　運行時間
アシックスP（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.8749167,136.1576667,国体マップ,青,項目6内容,始発　9：10　終発　18：15　所要時間　5分
AW工業P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.874886,136.157628,国体マップ,青,項目１,【Fルート】アシックス行　開催日
AW工業P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.874886,136.157628,国体マップ,青,項目1内容,9/30　10/7
AW工業P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.874886,136.157628,国体マップ,青,項目２,【Fルート】アシックス行　運行時間
AW工業P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.874886,136.157628,国体マップ,青,項目2内容,始発　8：30　終発　17：30　所要時間　5分
味真野苑（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.886377,136.23707,国体マップ,青,項目１,【Gルート】武生東運動公園行　運行日
味真野苑（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.886377,136.23707,国体マップ,青,項目1内容,9/30～10/2
味真野苑（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.886377,136.23707,国体マップ,青,項目２,【Gルート】武生東運動公園行　運行時間
味真野苑（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.886377,136.23707,国体マップ,青,項目2内容,始発　9：30　終発　16：30　所要時間　10分
信越化学P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.917246,136.165361,国体マップ,青,項目１,【Hルート】武生中央公園行　運行日
信越化学P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.917246,136.165361,国体マップ,青,項目1内容,9/30 10/6～8
信越化学P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.917246,136.165361,国体マップ,青,項目２,【Hルート】武生中央公園行　運行時間
信越化学P（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.917246,136.165361,国体マップ,青,項目2内容,始発　8：30　終発　17：30　所要時間　15分
