https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
南小山町,23,男,29
南小山町,23,女,37
北小山町,31,男,38
北小山町,31,女,46
吉村町,29,男,37
吉村町,29,女,41
若宮町,19,男,32
若宮町,19,女,36
五分市町,245,男,365
五分市町,245,女,380
清水頭町,34,男,49
清水頭町,34,女,47
上真柄町,23,男,34
上真柄町,23,女,40
徳間町,30,男,46
徳間町,30,女,48
金屋町,0,男,0
金屋町,0,女,0
宮谷町,115,男,172
宮谷町,115,女,174
奥宮谷町,79,男,134
奥宮谷町,79,女,125
上真柄宮谷入会,14,男,20
上真柄宮谷入会,14,女,25
味真野団地,47,男,64
味真野団地,47,女,59
都辺町,15,男,21
都辺町,15,女,29
上杉本町,3,男,2
上杉本町,3,女,2
二階堂町,12,男,21
二階堂町,12,女,15
千合谷町,20,男,30
千合谷町,20,女,31
菖蒲谷町,26,男,35
菖蒲谷町,26,女,41
堀町,31,男,41
堀町,31,女,48
土山町,7,男,11
土山町,7,女,9
小谷町,7,男,13
小谷町,7,女,12
安戸町,4,男,4
安戸町,4,女,6
菅町,0,男,0
菅町,0,女,0
米口町,19,男,30
米口町,19,女,38
仏谷町,2,男,2
仏谷町,2,女,3
丸岡町,44,男,60
丸岡町,44,女,64
沓掛町,20,男,30
沓掛町,20,女,26
勝蓮花町,0,男,0
勝蓮花町,0,女,0
小野町,2,男,3
小野町,2,女,4
上黒川町,33,男,44
上黒川町,33,女,51
下黒川町,41,男,37
下黒川町,41,女,57
安養寺町,155,男,228
安養寺町,155,女,234
曽原町,18,男,29
曽原町,18,女,34
粟野町,3,男,6
粟野町,3,女,6
小杉町,18,男,25
小杉町,18,女,24
牧町,11,男,11
牧町,11,女,15
若須町,6,男,9
若須町,6,女,9
中野町,21,男,29
中野町,21,女,36
萩原町,4,男,5
萩原町,4,女,7
鴉ヶ平町,12,男,22
鴉ヶ平町,12,女,24
西樫尾町,91,男,148
西樫尾町,91,女,152
